time,msg,codes,model,len,to,from,id,flags,payload,mic
2022-02-23 16:12:09,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;55;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:10,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;52;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:12,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:13,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;49;44;50;49;46;49;50;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:14,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;50;44;56;44;55;54;46;52;55;44;50;55;49;53,CRC
2022-02-23 16:12:15,,,RadioHead-ASK,25,255,255,0,0,49;48;44;52;48;48;44;50;49;46;49;50;44;56;44;55;54;46;52;55;44;50;55;49;53,CRC
2022-02-23 16:12:16,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;50;44;56;44;55;53;46;54;50;44;50;55;49;53,CRC
2022-02-23 16:12:17,,,RadioHead-ASK,24,255,255,0,0,57;44;52;48;48;44;50;49;46;49;49;44;56;44;55;53;46;54;50;44;50;55;49;53,CRC
2022-02-23 16:12:19,,,RadioHead-ASK,25,255,255,0,0,49;51;44;52;48;48;44;50;49;46;49;49;44;56;44;55;53;46;54;50;44;50;55;49;53,CRC
2022-02-23 16:12:20,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:21,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:22,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;49;44;56;44;55;53;46;54;50;44;50;50;53;48,CRC
2022-02-23 16:12:23,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:24,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:26,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:27,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;50;49,CRC
2022-02-23 16:12:28,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;49;48;44;56;44;55;53;46;54;50;44;50;55;50;49,CRC
2022-02-23 16:12:29,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;50;49,CRC
2022-02-23 16:12:30,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;49;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;50;49,CRC
2022-02-23 16:12:31,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;50;49,CRC
2022-02-23 16:12:33,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;49;48;44;56;44;55;55;46;51;49;44;50;57;52;48,CRC
